No,E.Coli,Coliform,Arsen (As),Total Kromium (Cr-T),Kadmium (Cd),Nitrit (NO2-N),Nitrat (NO3-N),Selenium (Se),Alumunium (Al),pH,Sulfat (SO4),Tembaga (Cu),Padatan Terlarut Total (TDS),Kekeruhan,Kelayakan
15949,"0,63","0,630","0,940","0,79","0,110","1,27","13,27","0,020","0,050","6,578","273,463","1,49","317,831","4,64",2
15950,"0,00","0,000","0,003","0,01","0,001","2,16","38,47","0,007","0,132","8,178","29,439","1,596483676","229,394","2,03",1
15951,"0,00","0,000","0,030","0,03","0,020","0,54","1,92","0,040","0,050","10,050","245,954","0,03","443,548","5,04",2
15952,"0,00","0,000","0,004","0,02","0,003","1,46","14,59","0,007","0,110","6,701","32,040","1,28","195,448","4,35",1
15953,"0,00","0,000","0,008","0,01","0,000","1,85","9,89","0,002","0,035","7,229","16,716","1,416372722","169,870","3,67",1
15954,"0,00","0,000","0,002","0,05","0,001","1,30","16,12","0,009","0,142","7,367","37,959","0,7","183,640","3,52",1
15955,"0,03","0,030","0,001","0,05","0,002","1,98","8,55","0,006","0,087","8,155","11,569","0,69","227,405","1,05",1
15956,"0,86","0,860","0,010","0,15","0,005","1,50","7,52","0,040","0,940","7,184","350,184","1,99","437,892","3,93",2
15957,"0,75","0,750","0,440","0,48","0,040","1,10","7,66","0,070","0,010","9,638","300,220","0,03","286,891","4,18",2
15958,"0,00","0,000","0,070","0,01","0,040","0,17","11,85","0,030","0,090","8,892","327,923","0,25","494,158","4,92",2
15959,"0,00","0,000","0,003","0,04","0,002","0,70","16,56","0,005","0,066","7,855","12,455","1,223684808","201,499","2,68",1
15960,"0,00","0,000","0,005","0,03","0,002","1,69","44,07","0,005","0,150","6,689","20,009","0,9303829613","294,483","2,75",1
15961,"0,00","0,000","0,009","0,04","0,000","0,06","7,22","0,001","0,097","8,260","10,855","0,1532359239","83,720","1,99",1
15962,"0,00","0,000","0,003","0,03","0,002","0,08","11,63","0,003","0,179","7,194","23,885","0,2027477121","199,227","0,21",1
15963,"0,25","0,250","0,010","0,04","0,060","1,93","5,78","0,100","0,060","7,192","240,898","1,16","521,836","3,88",2
15964,"0,00","0,000","0,210","0,70","0,080","1,53","9,44","0,080","3,580","7,053","360,296","1,51","447,289","3,15",2
15965,"0,00","0,000","0,010","0,04","0,001","0,69","44,72","0,009","0,169","6,978","12,560","1,986086715","238,385","0,16",1
15966,"0,00","0,000","0,007","0,04","0,001","0,57","6,76","0,008","0,180","7,353","1,930","0,5224139305","132,963","3,43",1
15967,"0,12","0,120","0,040","0,52","0,005","1,14","7,29","0,070","0,270","7,694","347,070","1,83","441,594","2,77",2
15968,"0,00","0,000","0,010","0,01","0,001","1,11","7,91","0,004","0,179","7,028","24,080","1,345820501","266,651","0,42",1
15969,"0,00","0,000","0,005","0,04","0,002","2,73","25,77","0,002","0,133","8,096","12,611","0,4103154427","297,224","4,89",1
15970,"0,00","0,000","0,002","0,04","0,003","0,46","9,55","0,006","0,121","6,774","24,522","0,02","271,778","1,89",1
15971,"0,69","0,690","0,010","0,25","0,008","1,38","2,47","0,100","0,100","8,274","257,459","1,12","393,838","4,41",2
15972,"0,00","0,000","0,004","0,05","0,003","0,27","0,36","0,001","0,137","7,418","37,953","0,05","278,328","0,34",1
15973,"0,00","0,000","0,060","0,09","0,080","1,34","1,80","0,030","0,040","7,967","289,946","1,81","457,068","3,80",2
15974,"0,00","0,000","0,060","0,00","0,080","0,48","1,45","0,090","0,100","6,962","299,959","0,01","344,072","3,36",2
15975,"0,00","0,000","0,006","0,04","0,002","1,80","34,54","0,010","0,043","8,059","5,587","1,762085127","110,315","2,78",1
15976,"0,00","0,000","0,060","0,04","0,010","0,83","3,33","0,040","0,010","5,229","340,918","0,03","490,766","3,94",2
15977,"0,51","0,510","0,020","0,83","0,002","1,20","10,90","0,040","0,070","3,961","336,062","0,3","463,297","3,81",2
15978,"0,00","0,000","0,003","0,02","0,002","0,85","16,51","0,005","0,006","7,973","4,723","0,7639285512","164,755","2,22",1
15979,"0,44","0,440","0,010","0,05","0,040","1,88","6,12","0,090","0,080","6,920","344,309","0,09","332,050","4,24",2
15980,"0,00","0,000","0,004","0,01","0,001","2,75","34,06","0,007","0,003","7,976","28,971","0,4036689259","216,185","1,40",1
15981,"0,00","0,000","0,070","0,04","0,020","0,09","12,05","0,010","0,050","10,581","276,013","0,86","590,430","3,75",2
15982,"0,00","0,000","0,009","0,04","0,002","1,13","20,01","0,002","0,026","6,992","7,261","1,861257342","252,902","0,66",1
15983,"0,00","0,000","0,090","0,06","0,040","0,45","2,44","0,010","0,040","5,665","339,221","0,5","468,939","3,39",2
15984,"0,00","0,000","0,006","0,02","0,001","0,27","11,04","0,006","0,192","7,821","13,674","0,01","69,810","1,89",1
15985,"0,95","0,950","0,530","0,18","0,070","2,14","5,38","0,050","2,770","9,228","261,445","1,76","360,648","3,59",2
15986,"0,00","0,000","0,004","0,05","0,000","1,89","29,77","0,006","0,080","7,788","37,619","1,806374713","296,444","3,29",1
15987,"0,00","0,000","0,002","0,03","0,001","2,29","2,50","0,009","0,117","7,356","29,233","0,9707576565","60,303","1,85",1
15988,"0,00","0,000","0,006","0,04","0,001","2,46","11,96","0,002","0,151","7,986","16,686","0,2707414183","105,962","0,59",1
15989,"0,00","0,000","0,005","0,03","0,001","2,24","15,08","0,010","0,016","7,028","2,413","1,43081579","294,625","4,46",1
15990,"0,00","0,000","0,009","0,03","0,001","2,42","1,57","0,008","0,183","7,127","20,614","0,2204426216","94,431","2,42",1
15991,"0,00","0,000","0,001","0,03","0,003","1,58","1,09","0,009","0,017","6,791","10,981","1,323785865","92,495","0,89",1
15992,"0,62","0,620","0,040","0,13","0,006","1,03","14,80","0,070","0,350","8,197","330,362","1,17","277,413","3,19",2
15993,"0,09","0,090","0,030","0,06","0,060","1,13","16,10","0,040","0,010","5,230","338,585","1,61","466,103","2,74",2
15994,"0,00","0,000","0,005","0,04","0,002","0,15","16,59","0,003","0,044","6,655","14,101","0,72","276,416","4,76",1
15995,"0,00","0,000","0,003","0,05","0,001","0,79","14,55","0,008","0,185","6,683","32,937","0,04","287,939","2,78",1
15996,"0,00","0,000","0,001","0,01","0,002","2,79","12,28","0,004","0,004","8,021","30,763","1,836306423","161,924","4,66",1
15997,"0,98","0,980","0,100","0,08","0,080","1,05","10,96","0,030","0,070","6,395","340,914","0,25","306,693","4,64",2
15998,"0,00","0,000","0,004","0,04","0,003","1,90","39,87","0,001","0,076","7,580","31,256","1,79007636","115,392","4,83",1
15999,"0,76","0,760","0,060","0,04","0,070","0,07","7,12","0,090","0,100","6,140","274,884","0,87","464,185","2,96",2
16000,"0,00","0,000","0,004","0,05","0,000","0,03","36,81","0,008","0,140","7,496","6,697","1,895005601","140,543","1,15",1
16001,"0,02","0,020","0,090","0,04","0,020","1,44","13,30","0,050","0,080","6,023","304,622","1,92","480,143","4,88",2
16002,"0,76","0,760","0,050","0,08","0,090","0,08","4,35","0,070","0,070","5,974","366,943","1,46","570,424","3,63",2
16003,"0,00","0,000","0,004","0,01","0,002","2,05","25,25","0,007","0,090","7,774","32,736","1,153464399","117,404","3,59",1
16004,"0,00","0,000","0,001","0,72","0,005","1,83","5,63","0,090","0,350","8,938","312,315","0,04","466,649","3,69",2
16005,"0,00","0,000","0,000","0,10","0,020","0,03","13,73","0,050","0,050","6,520","330,165",0,"534,339","3,30",2
16006,"0,04","0,040","0,000","0,05","0,030","0,52","13,95","0,050","0,010","9,160","287,086","1,35","420,291","2,97",2
16007,"0,59","0,590","0,080","0,02","0,040","1,12","14,44","0,030","0,020","8,040","310,716","0,7","327,248","4,34",2
16008,"0,25","0,250","0,020","0,06","0,020","1,27","14,05","0,010","0,100","4,557","306,239","1,69","395,699","4,54",2
16009,"0,00","0,000","0,000","0,05","0,010","0,12","14,66","0,030","0,060","6,582","298,214","0,02","377,649","3,76",2
16010,"0,00","0,000","0,009","0,05","0,003","0,05","47,43","0,006","0,117","7,075","2,290","1,762340962","127,232","3,52",1
16011,"0,35","0,350","0,070","0,08","0,050","1,75","15,10","0,030","0,010","8,309","276,118","0,06","427,240","3,21",2
16012,"0,08","0,080","0,090","0,08","0,020","0,09","7,02","0,050","0,060","7,673","338,771","1,59","390,657","3,11",2
16013,"0,00","0,000","0,007","0,03","0,001","0,09","48,11","0,003","0,183","7,141","14,337","1,172210706","188,524","2,49",1
16014,"0,00","0,000","0,003","0,05","0,001","2,95","47,26","0,004","0,132","7,935","11,279","1,951018964","129,228","1,18",1
16015,"0,00","0,000","0,009","0,05","0,003","0,48","14,76","0,007","0,023","7,362","2,713",1,"131,050","4,56",1
16016,"0,00","0,000","0,005","0,01","0,002","2,14","4,23","0,003","0,193","8,198","2,910","1,223912665","234,767","2,92",1
16017,"0,16","0,160","0,010","0,25","0,006","1,70","16,99","0,080","1,820","5,116","347,070","1,09","421,183","2,94",2
16018,"0,00","0,000","0,010","0,67","0,003","1,67","14,07","0,060","2,730","7,239","326,586","1,5","499,095","3,67",2
16019,"0,19","0,190","0,020","0,00","0,070","1,65","3,77","0,100","0,050","5,809","314,043","1,99","460,894","6,03",2
16020,"0,00","0,000","0,001","0,01","0,003","1,48","6,97","0,010","0,014","7,029","21,008","1,979999235","174,776","0,47",1
16021,"0,20","0,200","0,060","0,54","0,080","2,41","18,34","0,100","0,020","8,107","297,207","0,79","331,674","4,40",2
16022,"0,11","0,110","0,030","0,01","0,090","1,78","13,27","0,000","0,050","6,082","355,462","1,96","317,349","3,78",2
16023,"0,00","0,000","0,006","0,04","0,001","1,27","2,00","0,002","0,053","8,424","25,249","0,05","156,900","0,99",1
16024,"0,28","0,280","0,080","0,04","0,050","1,64","8,55","0,010","0,070","7,776","303,327","1,45","344,970","4,49",2
16025,"0,08","0,080","0,010","0,85","0,001","1,43","6,48","0,050","1,090","6,391","256,590","1,59","530,800","4,01",2
16026,"0,00","0,000","0,002","0,02","0,000","2,39","33,71","0,004","0,074","7,944","19,687","1,917410348","235,806","4,75",1
16027,"1,00","1,000","0,180","0,72","0,070","1,89","11,88","0,000","0,030","4,998","287,948","0,14","453,883","3,99",2
16028,"0,94","0,940","0,010","0,63","0,002","1,72","7,60","0,050","2,720","5,404","346,585","1,26","443,958","4,83",2
16029,"0,49","0,490","0,080","0,05","0,070","1,65","6,22","0,040","0,030","5,679","309,417","1,93","493,118","3,49",2
16030,"0,00","0,000","0,000","0,01","0,000","0,61","6,11","0,070","0,070","6,449","328,681","1,69","437,342","3,67",2
16031,"0,49","0,490","0,090","0,04","0,040","1,00","17,16","0,090","0,080","9,565","352,277","0,07","328,579","4,27",2
16032,"0,00","0,000","0,006","0,03","0,002","2,71","43,10","0,002","0,170","8,069","1,442","1,251680092","291,342","4,53",1
16033,"0,63","0,630","0,050","0,09","0,080","0,68","14,00","0,020","0,080","9,147","370,168","1,49","311,773","3,33",2
16034,"0,00","0,000","0,004","0,02","0,000","1,51","13,30","0,008","0,016","7,626","22,040","1,56","64,803","1,03",1
16035,"0,00","0,000","0,003","0,02","0,003","1,21","24,14","0,002","0,176","7,436","15,114","0,1363524426","170,607","5,00",1
16036,"0,00","0,000","0,003","0,02","0,001","1,57","15,23","0,005","0,037","6,728","13,695","0,9873342495","250,778","2,83",1
16037,"0,00","0,000","0,210","0,65","0,100","1,66","2,22","0,100","0,060","9,150","296,314","0,73","464,726","3,21",2
16038,"0,00","0,000","0,003","0,05","0,002","1,37","9,65","0,007","0,055","6,777","5,669","0,5778363246","245,954","0,08",1
16039,"0,00","0,000","0,003","0,05","0,002","2,79","33,26","0,003","0,158","8,179","19,322","0,8925979397","230,650","2,98",1
16040,"0,00","0,000","0,005","0,04","0,002","0,50","35,12","0,003","0,156","6,600","34,770","1,715093856","286,865","2,47",1
16041,"0,00","0,000","0,001","0,05","0,003","0,00","18,84","0,006","0,028","7,919","36,490","0,1","226,428","2,06",1
16042,"0,00","0,000","0,008","0,01","0,000","1,57","26,16","0,008","0,156","7,464","8,696","0,1624798377","91,210","1,01",1
16043,"0,00","0,000","1,020","0,52","0,080","2,02","1,11","0,060","3,860","4,313","328,269","0,96","537,136","3,29",2
16044,"0,00","0,000","0,001","0,04","0,000","1,16","22,96","0,008","0,191","7,337","30,523","0,08853576605","180,523","1,29",1
16045,"0,49","0,490","0,580","0,24","0,050","1,51","10,69","0,060","0,060","6,978","352,686","0,08","476,625","4,62",2
16046,"0,44","0,440","0,030","0,02","0,050","2,02","13,52","0,040","0,090","8,353","307,644","0,91","457,892","4,50",2
16047,"0,00","0,000","0,002","0,03","0,002","0,83","7,08","0,009","0,195","7,259","8,702","0,03","175,074","4,02",1
16048,"0,00","0,000","0,003","0,02","0,002","2,44","12,51","0,009","0,174","7,364","22,438","0,05497646679","54,819","4,09",1
16049,"0,46","0,460","0,390","0,19","0,040","1,50","7,33","0,070","3,870","10,000","326,695","0,84","338,935","3,49",2
16050,"0,00","0,000","0,005","0,03","0,002","0,53","30,90","0,007","0,074","6,771","32,367","0,7695846781","156,069","0,58",1
16051,"0,00","0,000","0,000","0,07","0,050","1,29","11,32","0,090","0,100","8,553","382,009","0,28","574,541","3,68",2
16052,"0,08","0,080","0,080","0,04","0,050","1,43","9,64","0,030","0,020","6,359","329,338","0,46","435,500","4,18",2
16053,"0,00","0,000","0,005","0,03","0,003","1,84","10,83","0,003","0,043","7,025","29,843","0,07","182,435","3,60",1
16054,"0,00","0,000","0,006","0,05","0,001","2,14","28,38","0,002","0,153","7,645","33,258","0,32082123","177,415","3,52",1
16055,"0,00","0,000","0,003","0,03","0,003","0,94","5,74","0,008","0,101","7,176","26,774","0,06","81,704","2,50",1
16056,"0,00","0,000","0,006","0,04","0,001","0,13","44,70","0,003","0,155","8,094","25,728","1,237832309","265,229","2,65",1
16057,"0,00","0,000","0,010","0,02","0,001","2,66","34,50","0,007","0,169","7,658","19,269","1,779843774","115,845","0,05",1
16058,"0,56","0,560","0,050","0,82","0,003","1,53","18,43","0,020","0,110","6,790","290,709","1,97","343,972","5,02",2
16059,"0,00","0,000","0,100","0,02","0,060","0,92","14,38","0,040","0,040","7,876","395,262","0,09","341,075","4,11",2
16060,"0,00","0,000","0,007","0,01","0,003","1,75","26,88","0,010","0,002","8,477","19,264","1,962065644","225,435","3,26",1
16061,"0,00","0,000","0,007","0,03","0,003","2,13","6,63","0,002","0,137","6,752","29,659","1,793630247","247,741","1,10",1
16062,"0,77","0,770","0,040","0,56","0,005","1,93","8,61","0,030","0,070","7,611","267,681","1,15","323,001","4,75",2
16063,"0,00","0,000","0,004","0,04","0,000","1,88","27,91","0,005","0,189","7,306","19,744","0,6535060253","256,368","2,88",1
16064,"0,00","0,000","0,007","0,03","0,002","0,92","35,88","0,004","0,047","7,382","39,294","0,706801615","272,694","3,07",1
16065,"0,00","0,000","0,020","0,06","0,010","0,26","0,41","0,080","0,070","6,549","349,530","0,79","430,560","5,25",2
16066,"0,60","0,600","1,020","0,27","0,010","1,98","11,95","0,020","0,880","8,111","332,469","1,23","461,805","4,36",2
16067,"0,00","0,000","0,008","0,05","0,002","1,19","38,13","0,006","0,132","8,090","14,652","0,5823072767","70,053","3,16",1
16068,"0,10","0,100","0,020","0,24","0,004","1,06","12,21","0,050","0,250","9,962","311,554","1,66","402,665","4,04",2
16069,"0,00","0,000","0,009","0,01","0,001","1,43","20,36","0,009","0,063","7,634","2,827","1,076686692","270,664","4,35",1
16070,"0,00","0,000","0,007","0,03","0,003","0,00","4,94","0,008","0,177","7,034","28,999","0,07","279,849","0,66",1
16071,"0,52","0,520","0,010","0,41","0,005","1,74","13,32","0,010","3,030","6,100","313,139","1,97","413,292","4,41",2
16072,"0,66","0,660","0,610","0,70","0,090","1,61","8,32","0,010","0,040","10,253","313,083","0,08","462,535","4,48",2
16073,"0,00","0,000","0,002","0,02","0,002","1,50","38,14","0,003","0,103","7,948","20,055","0,6638549638","131,395","0,46",1
16074,"0,84","0,840","0,030","0,51","0,004","1,18","14,65","0,030","0,100","3,798","311,778","1,36","449,686","2,96",2
16075,"0,00","0,000","0,000","0,07","0,050","1,95","12,60","0,100","0,040","6,932","293,078","0,01","562,771","4,35",2
16076,"0,73","0,730","0,030","0,37","0,008","1,86","12,09","0,060","0,070","8,550","342,029","1,11","561,761","2,82",2
16077,"0,00","0,000","0,008","0,02","0,001","0,67","12,80","0,004","0,124","7,830","33,865","1,180198306","282,715","4,74",1
16078,"0,70","0,700","0,030","0,79","0,008","1,46","13,57","0,020","0,020","9,961","287,698","0,51","392,533","4,70",2
16079,"0,00","0,000","0,005","0,04","0,002","2,27","11,77","0,006","0,059","7,961","33,939","0,07","80,910","2,97",1
16080,"0,00","0,000","0,002","0,03","0,000","0,78","41,60","0,004","0,193","7,959","30,413","0,8459674245","244,885","0,94",1
16081,"0,00","0,000","0,005","0,04","0,002","0,09","12,27","0,006","0,155","7,741","33,311","0,8876035304","105,191","0,21",1
16082,"0,00","0,000","0,070","0,01","0,060","0,45","10,30","0,030","0,070","7,822","308,006","1,64","395,786","5,11",2
16083,"0,00","0,000","0,002","0,01","0,002","1,56","12,71","0,003","0,001","7,761","36,651","1,256705632","73,109","3,77",1
16084,"0,00","0,000","0,030","0,47","0,001","1,33","11,47","0,000","1,140","6,043","347,962","1,37","347,653","3,84",2
16085,"0,68","0,680","0,090","0,03","0,030","2,45","5,00","0,050","0,100","6,257","324,505","1,6","344,155","4,02",2
16086,"0,00","0,000","0,100","0,02","0,030","1,46","6,48","0,010","0,060","7,796","306,800","0,08","336,825","3,08",2
16087,"0,00","0,000","0,005","0,04","0,001","1,90","48,30","0,004","0,048","8,179","1,189","0,2278416622","243,989","2,32",1
16088,"0,00","0,000","0,020","0,82","0,008","1,07","15,01","0,050","4,500","7,231","324,644","1,54","370,930","3,95",2
16089,"0,54","0,540","0,040","0,00","0,080","1,77","11,16","0,010","0,010","5,666","329,404","1,65","371,616","3,75",2
16090,"0,00","0,000","0,002","0,03","0,003","0,45","6,42","0,010","0,158","6,731","18,334","0,08","57,115","2,38",1
16091,"0,00","0,000","0,004","0,04","0,000","2,62","48,46","0,007","0,120","8,264","12,032","0,01504497396","263,455","2,49",1
16092,"0,07","0,070","0,910","0,26","0,120","1,95","10,77","0,100","0,000","9,014","293,924","1,07","432,511","4,90",2
16093,"0,86","0,860","0,010","0,06","0,020","1,37","13,34","0,010","0,000","8,261","387,190","1,34","508,681","3,75",2
16094,"0,31","0,310","0,060","0,02","0,040","2,06","12,28","0,090","0,070","6,709","383,113","0,62","569,103","3,05",2
16095,"0,00","0,000","0,004","0,02","0,001","1,24","6,56","0,006","0,069","8,183","28,039","0,5037468275","216,103","2,94",1
16096,"0,00","0,000","0,008","0,05","0,001","0,20","29,55","0,007","0,106","7,574","9,137","1,553977873","74,602","4,86",1
16097,"0,00","0,000","0,002","0,03","0,001","1,00","13,68","0,007","0,008","7,516","27,553","0,5854883198","259,465","0,84",1
16098,"0,79","0,790","0,560","0,27","0,040","1,21","1,56","0,060","0,070","6,491","319,734","0,6","418,972","4,90",2
16099,"0,42","0,420","0,020","0,05","0,100","1,58","16,61","0,040","0,080","7,342","345,044","1,43","402,594","4,82",2
16100,"0,31","0,310","0,020","0,10","0,090","0,62","14,22","0,090","0,020","9,467","318,610","1,47","487,274","4,44",2
16101,"0,69","0,690","0,850","0,26","0,070","1,92","8,05","0,010","4,740","10,525","359,393","1,97","437,051","4,53",2
16102,"0,00","0,000","0,050","0,04","0,020","1,00","19,41","0,050","0,020","7,121","238,844","0,03","347,804","2,74",2
16103,"0,00","0,000","0,007","0,05","0,001","2,83","11,51","0,009","0,043","7,947","4,267","0,7444932575","285,956","1,58",1
16104,"0,00","0,000","0,007","0,02","0,002","2,35","14,17","0,009","0,136","7,328","30,030","1,949393301","147,692","0,94",1
16105,"0,74","0,740","0,040","0,10","0,090","0,18","7,32","0,060","0,020","5,304","347,133","0,67","531,181","2,40",2
16106,"0,00","0,000","0,007","0,04","0,003","2,96","36,62","0,007","0,050","8,001","24,033","0,3327986041","173,871","0,04",1
16107,"0,22","0,220","0,030","0,07","0,080","0,76","1,29","0,010","0,090","5,584","268,945","1,77","414,811","4,49",2
16108,"0,00","0,000","0,006","0,04","0,002","1,41","49,57","0,005","0,049","6,604","4,245","1,225911462","107,756","0,50",1
16109,"0,47","0,470","0,040","0,09","0,090","1,77","8,10","0,000","0,000","5,285","341,334","1,69","479,759","3,38",2
16110,"0,45","0,450","0,000","0,09","0,090","1,99","17,99","0,100","0,100","7,487","300,764","0,73","646,733","3,69",2
16111,"0,00","0,000","0,010","0,01","0,003","2,49","12,57","0,007","0,087","7,585","30,764","1,715596784","272,142","1,08",1
16112,"0,00","0,000","0,004","0,01","0,003","0,90","39,95","0,006","0,027","6,942","37,991","1,889533488","283,521","3,11",1
16113,"0,00","0,000","0,003","0,05","0,001","1,76","7,50","0,003","0,109","6,656","1,819","1,64","268,178","3,42",1
16114,"0,00","0,000","0,009","0,02","0,002","0,95","13,11","0,009","0,062","6,696","19,340","0,04","55,300","3,86",1
16115,"0,91","0,910","0,010","0,03","0,000","1,83","5,35","0,030","0,030","8,063","322,156","1,08","546,895","4,58",2
16116,"0,00","0,000","0,005","0,01","0,002","1,13","26,34","0,005","0,089","7,333","15,377","1,398850218","166,477","2,17",1
16117,"0,00","0,000","0,005","0,02","0,003","1,29","12,39","0,009","0,175","7,948","1,501","1,56","268,268","4,06",1
16118,"0,00","0,000","0,270","0,05","0,000","1,27","4,94","0,050","3,860","4,405","307,704","0,06","279,447","3,68",2
16119,"0,00","0,000","0,450","0,11","0,120","1,93","0,69","0,040","4,580","6,957","207,890","1,41","397,057","4,59",2
16120,"0,29","0,290","0,030","0,69","0,009","1,94","0,36","0,070","0,200","9,222","324,546","1,66","558,109","4,94",2
16121,"0,00","0,000","0,009","0,03","0,003","0,70","22,46","0,009","0,076","7,507","39,239","0,2763642777","72,146","1,79",1
16122,"0,00","0,000","0,003","0,05","0,000","2,92","24,04","0,006","0,162","7,043","7,006","1,766115036","206,234","1,97",1
16123,"0,00","0,000","0,000","0,01","0,100","0,72","2,00","0,080","0,070","7,095","260,426","0,03","525,075","3,47",2
16124,"0,00","0,000","0,002","0,02","0,002","0,78","7,04","0,008","0,043","8,118","9,367","0,09","54,896","2,46",1
16125,"0,00","0,000","0,020","0,09","0,040","0,61","13,07","0,060","0,030","8,290","347,986",0,"309,930","3,53",2
16126,"0,15","0,150","0,030","0,14","0,003","1,66","16,36","0,060","0,030","8,227","266,639","0,39","434,049","4,32",2
16127,"0,00","0,000","0,001","0,02","0,001","0,49","16,17","0,004","0,050","6,918","1,756","0,3126179836","149,865","4,56",1
16128,"0,00","0,000","0,010","0,02","0,002","0,01","21,67","0,007","0,156","8,126","33,730","0,379522772","184,660","1,72",1
16129,"0,00","0,000","0,020","0,08","0,030","0,30","8,49","0,000","0,090","8,480","321,321","0,01","358,044","2,88",2
16130,"0,00","0,000","0,006","0,01","0,002","0,44","7,78","0,009","0,050","7,977","26,177","1,45","264,452","4,33",1
16131,"0,04","0,040","0,008","0,04","0,001","1,77","1,79","0,004","0,093","8,381","7,038","1,56","280,604","2,65",1
16132,"0,45","0,450","0,270","0,04","0,040","2,08","16,98","0,010","0,010","6,238","437,647","0,65","519,032","4,08",2
16133,"0,00","0,000","0,002","0,04","0,002","0,13","3,63","0,005","0,153","8,144","16,233","0,36","158,187","1,66",1
16134,"0,00","0,000","0,002","0,04","0,003","0,01","1,80","0,005","0,049","6,754","12,345","0,07","193,471","0,59",1
16135,"0,00","0,000","0,003","0,03","0,002","0,13","8,02","0,009","0,123","7,573","31,704","1,556481516","233,019","2,87",1
16136,"0,16","0,160","0,070","0,07","0,090","0,84","13,65","0,080","0,000","6,839","263,453","1,86","545,975","4,58",2
16137,"0,00","0,000","0,470","0,89","0,010","1,08","13,15","0,100","4,990","10,284","324,096","1,62","467,752","3,73",2
16138,"0,00","0,000","0,005","0,05","0,003","2,06","29,76","0,004","0,046","6,576","35,491","0,862194799","184,024","3,12",1
16139,"0,02","0,020","0,040","0,22","0,003","1,22","7,10","0,010","0,030","5,332","369,541","1,09","447,484","3,82",2
16140,"0,53","0,530","0,030","0,01","0,010","1,21","18,60","0,080","0,060","6,918","342,999","0,95","485,672","4,11",2
16141,"0,84","0,840","0,050","0,51","0,008","1,25","15,88","0,080","3,260","6,897","351,271","1,06","344,600","3,87",2
16142,"0,25","0,250","0,500","0,52","0,070","1,51","14,49","0,010","0,040","7,469","333,271","1,69","629,281","3,22",2
16143,"0,00","0,000","0,060","0,00","0,060","0,40","15,38","0,050","0,050","7,986","369,039","0,02","429,226","3,84",2
16144,"0,51","0,510","0,590","0,15","0,080","1,88","4,06","0,060","3,480","9,680","323,729","1,97","490,943","3,86",2
16145,"0,00","0,000","0,010","0,04","0,001","0,50","15,45","0,001","0,148","8,182","27,549","0,03","284,622","0,86",1
16146,"0,28","0,280","0,070","0,03","0,080","1,74","3,23","0,060","0,090","3,678","376,838","1,18","335,506","2,81",2
16147,"0,00","0,000","0,010","0,05","0,002","0,47","27,51","0,009","0,016","8,096","21,365","0,2161321396","95,063","1,69",1
16148,"0,22","0,220","0,350","0,55","0,050","1,41","14,69","0,060","0,060","6,166","433,448","0,03","422,068","3,59",2
16149,"0,00","0,000","0,002","0,01","0,002","0,45","35,33","0,001","0,156","7,583","29,128","0,726564409","54,028","3,23",1
16150,"0,00","0,000","0,040","0,09","0,010","2,20","4,22","0,010","0,090","4,964","367,327","1,37","597,870","2,83",2
16151,"0,00","0,000","0,004","0,01","0,001","0,11","11,34","0,007","0,046","7,410","9,764","0,03","103,975","2,77",1
16152,"0,00","0,000","0,007","0,02","0,002","2,94","46,49","0,006","0,095","7,504","14,124","0,3198370182","141,700","0,46",1
16153,"0,79","0,790","0,720","0,28","0,020","1,38","7,22","0,000","0,140","7,578","314,223","0,36","430,960","3,20",2
16154,"0,00","0,000","0,003","0,01","0,001","1,46","12,71","0,007","0,173","6,688","8,307","1,480378648","195,769","2,32",1
16155,"0,60","0,600","0,040","0,49","0,007","1,23","7,50","0,020","4,640","6,269","351,345","1,72","527,206","3,22",2
16156,"0,00","0,000","0,001","0,03","0,002","2,48","45,28","0,007","0,090","6,931","23,736","0,4704474003","252,047","2,12",1
16157,"0,00","0,000","0,090","0,10","0,000","0,77","10,96","0,030","0,050","7,870","256,474","0,02","475,341","4,60",2
16158,"0,41","0,410","0,040","0,30","0,003","1,84","10,56","0,080","0,060","7,395","413,102","0,67","365,148","3,70",2
16159,"0,00","0,000","0,001","0,01","0,000","0,98","14,77","0,005","0,136","7,267","24,467",0,"156,868","1,05",1
16160,"0,00","0,000","0,004","0,01","0,002","2,60","15,57","0,007","0,012","7,169","8,024","0,3716556967","286,457","0,20",1
16161,"0,05","0,050","0,200","0,41","0,060","1,26","2,44","0,050","0,070","7,591","268,212","0,04","471,904","2,94",2
16162,"0,00","0,000","0,009","0,04","0,002","2,98","19,70","0,007","0,170","8,474","19,255","1,44460684","132,895","0,92",1
16163,"0,00","0,000","0,006","0,03","0,001","2,15","8,11","0,002","0,041","8,117","5,501","1,068690148","58,817","4,37",1
16164,"0,77","0,770","0,050","0,52","0,008","1,55","1,11","0,020","1,870","7,146","294,210","1,03","437,125","2,97",2
16165,"0,51","0,510","0,840","0,61","0,030","2,00","10,74","0,020","0,020","8,693","315,180","0,77","351,180","2,37",2
16166,"0,00","0,000","0,002","0,05","0,001","0,04","48,11","0,006","0,031","6,782","5,516","0,3540049375","181,633","4,36",1
16167,"0,82","0,820","0,070","0,07","0,010","0,97","3,13","0,030","0,090","8,904","293,062","0,82","371,883","4,65",2
16168,"0,00","0,000","0,007","0,05","0,002","2,23","7,81","0,007","0,198","8,220","1,301","0,1937727615","107,448","0,24",1
